scenario_number,qualifying_groups,slot_74,slot_77,slot_79,slot_80,slot_81,slot_82,slot_85,slot_87,source_url
75,B-D-E-F-G-I-J-K,D,F,E,K,B,J,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
76,B-D-E-F-G-H-K-L,D,F,E,K,B,H,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
77,B-D-E-F-G-H-J-L,D,F,H,E,B,J,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
78,B-D-E-F-G-H-J-K,D,F,H,K,B,J,G,E,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
79,B-D-E-F-G-H-I-L,D,F,E,I,B,H,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
80,B-D-E-F-G-H-I-K,D,F,E,K,B,H,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
81,B-D-E-F-G-H-I-J,D,F,H,I,B,J,G,E,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
82,B-C-G-H-I-J-K-L,C,G,H,K,B,I,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
83,B-C-F-H-I-J-K-L,C,F,H,K,B,I,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
84,B-C-F-G-I-J-K-L,C,F,I,K,B,J,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
85,B-C-F-G-H-J-K-L,C,F,H,K,B,J,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
86,B-C-F-G-H-I-K-L,C,F,H,K,B,I,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
87,B-C-F-G-H-I-J-L,C,F,H,I,B,J,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
88,B-C-F-G-H-I-J-K,C,F,H,K,B,J,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
89,B-C-E-H-I-J-K-L,C,H,E,K,B,I,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
90,B-C-E-G-I-J-K-L,C,G,E,K,B,I,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
91,B-C-E-G-H-J-K-L,C,G,E,K,B,H,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
92,B-C-E-G-H-I-K-L,C,H,E,K,B,I,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
93,B-C-E-G-H-I-J-L,C,G,E,I,B,H,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
94,B-C-E-G-H-I-J-K,C,G,E,K,B,H,J,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
95,B-C-E-F-I-J-K-L,C,F,E,K,B,I,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
96,B-C-E-F-H-J-K-L,C,F,E,K,B,H,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
97,B-C-E-F-H-I-K-L,C,F,E,K,B,H,I,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
98,B-C-E-F-H-I-J-L,C,F,E,I,B,H,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
99,B-C-E-F-H-I-J-K,C,F,E,K,B,H,J,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
100,B-C-E-F-G-J-K-L,C,F,E,K,B,J,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
101,B-C-E-F-G-I-K-L,C,F,E,K,B,I,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
102,B-C-E-F-G-I-J-L,C,F,E,I,B,J,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
103,B-C-E-F-G-I-J-K,C,F,E,K,B,J,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
104,B-C-E-F-G-H-K-L,C,F,E,K,B,H,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
105,B-C-E-F-G-H-J-L,C,F,H,E,B,J,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
106,B-C-E-F-G-H-J-K,C,F,H,K,B,J,G,E,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
107,B-C-E-F-G-H-I-L,C,F,E,I,B,H,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
108,B-C-E-F-G-H-I-K,C,F,E,K,B,H,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
109,B-C-E-F-G-H-I-J,C,F,H,I,B,J,G,E,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
110,B-C-D-H-I-J-K-L,C,D,H,K,B,I,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
111,B-C-D-G-I-J-K-L,C,D,I,K,B,J,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
112,B-C-D-G-H-J-K-L,C,D,H,K,B,J,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
113,B-C-D-G-H-I-K-L,C,D,H,K,B,I,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
114,B-C-D-G-H-I-J-L,C,D,H,I,B,J,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
115,B-C-D-G-H-I-J-K,C,D,H,K,B,J,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
116,B-C-D-F-I-J-K-L,D,F,C,K,B,I,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
117,B-C-D-F-H-J-K-L,D,F,C,K,B,H,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
118,B-C-D-F-H-I-K-L,D,F,C,K,B,H,I,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
119,B-C-D-F-H-I-J-L,D,F,C,I,B,H,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
120,B-C-D-F-H-I-J-K,D,F,C,K,B,H,J,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
121,B-C-D-F-G-J-K-L,D,F,C,K,B,J,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
122,B-C-D-F-G-I-K-L,D,F,C,K,B,I,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
123,B-C-D-F-G-I-J-L,D,F,C,I,B,J,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
124,B-C-D-F-G-I-J-K,D,F,C,K,B,J,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
